A R S Sport Strip - Belle Plaine, MN
Big Mountain Airport - Big Mountain, AK
Big Piney-Marbleton Airport - Big Piney, WY
Big Rapids Airport - Big Rapids, MI
Big Sandy - Big Sandy, MT
Big Sky - Culbertson, MT
Big Sky Airport - Ennis, MT
Big Southern Butte - Atomic City, ID
Big Spring Mc Mahon-Wrinkle - Big Spring, TX
Big Timber - Big Timber, MT
Bigfork Municipal - Bigfork, MN
Biggs Army Air Field - El Paso, TX
Bill and Hillary Clinton National Airport - Little Rock, AR
Billings Airport - Billings, MT
Biloxi Regional Airport - Gulfport, MS
Binghamton Airport - Binghamton, NY
Birch Creek Airport - Birch Creek, AK
Birchwood Airport - Birchwood, AK
Birchwood-Pocono Airport - East Stroudsburg, PA
Bird'S Nest - Austin, TX
Birmingham-Shuttlesworth International Airport - Birmingham, AL
Bisbee Municipal Airport - Bisbee, AZ
Bisbee-Douglas International Airport - Douglas, AZ
Bishop Airport - Bishop, CA
Bishop Airport - Flint, MI
Bishop Municipal - Bishop, TX
Bismarck Airport - Bismarck, ND
Bismarck Memorial - Bismarck, MO
Bison Municipal - Bison, SD
Black Hills Airport - Spearfish, SD
Black Memorial - Halls Crossing, UT
Black Mountain - Cheboygan, MI
Black Rapids - Black Rapids, AK
Black River Falls Area - Black River Falls, WI
Black Rock - Zuni Pueblo, NM
Blacker Airport - Manistee, MI
Blackhawk - Madison, WI
Blackstone Army Air Field - Blackstone, VA
Blackwell - Ozark, AL
Blackwell Airport - Blackwell, OK
Bladenboro - Bladenboro, NC
Blaine Airport - Blaine, WA
Blair - Blair, WI
Blairstown - Blairstown, NJ
Blairsville - Blairsville, GA
Blairsville Airport - Blairsville, PA
Blake - Delta, CO
Blakely Island Airport - Blakely Island, WA
Blanca - Blanca, CO
Blanding Airport - Blanding, UT
Block Island Airport - Block Island, RI
Bloom - Jamestown, OH
Bloomfield Municipal - Bloomfield, IA
Bloomfield Municipal - Bloomfield, NE
Bloomington Airport - Bloomington, IN
Bloomington-Normal Airport - Bloomington-Normal, IL
Bloomsburg Municipal - Bloomsburg, PA
Blosser Municipal Airport - Concordia, KS
Bloyer - Tomah, WI
Blue Canyon Airport - Blue Canyon, CA
Blue Earth Municipal - Blue Earth, MN
Blue Fox Bay Airport - Blue Fox Bay, AK
Blue Grass Airport - Lexington, KY
Blue Hill - Blue Hill, ME
Blue Knob Valley - Newry, PA
Blue Mountain Airport - Blue Mountain, AK 
Blue Ridge - Martinsville, VA
Blue Swan - Sayre, PA
Bluebird Hill - Keithville, LA
Bluff - Bluff, UT
Bluffton - Bluffton, OH
Blythe Airport - Blythe, CA
Blytheville Municipal Airport - Blytheville, AR
Boardman - Boardman, OR
Bob Barker Memorial Airport - Kiana, AK
Bob Hope Airport - Burbank, CA
Bob Sikes Airport - Crestview, FL
Bobby L. Chain Municipal Airport - Hattiesburg, MS
Boca Raton Airport - Boca Raton, FL
Boeing Field International Airport - Seattle, WA
Boerne Stage - San Antonio, TX
Bogue Mcalf - Swansboro, NC
Boire Field - Nashua, NH
Bois Blanc - Pointe Aux Pins, MI
Boise Air Terminal (Gowen Field) - Boise, ID
Boise City - Boise City, OK
Bolinder-Tooele Valley - Tooele, UT
Bolingbrook Med Center Heliport - Bolingbrook, IL
Bolivar Municipal - Bolivar, MO
Bolling Air Force Base - Washington, DC
Bollinger-Crass Memorial - Van Buren, MO
Bolton Field - Columbus, OH
Bomar Field - Shelbyville, TN
Bonnie - Rock, MI
Boone Airport - Boone, IA
Boone County Airport - Harrison, AR
Boone County Airport - Lebanon, IN
Booneville Municipal - Booneville, AR
Booneville/Baldwyn - Booneville/Baldwyn, MS
Boonville - Boonville, CA
Boonville - Boonville, IN
Bordelon - Breaux Bridge, LA
Bordner - Bowling Green, OH
Borger Airport - Borger, TX
Borges-Clarksburg Airport - Clarksburg, CA
Bornite Upper Airport - Bornite, AK
Borrego Springs Airport - Borrego Springs, CA
Boscobel - Boscobel, WI
Boston City Heliport - Boston, MA
Boswell Bay Airport - Boswell Bay, AK
Botsford - Wellington, OH
Bottineau Municipal - Bottineau, ND
Boulder - Boulder, MT
Boulder City Municipal Airport - Boulder City, NV
Boulder Junction - Boulder Junction, WI
Boulder Municipal Airport - Boulder, CO
Boundary Airport - Boundary, AK
Boundary Co - Bonners Ferry, ID
Bourland - Ft Worth, TX
Bowbells Municipal - Bowbells, ND
Bowdle Municipal - Bowdle, SD
Bowerman Airport - Hoquiam, WA
Bowers Field - Ellensburg, WA
Bowie - Bowie, AZ
Bowie Municipal - Bowie, TX
Bowling Green Municipal - Bowling Green, MO
Bowman - Anaconda, MT
Bowman - Livermore Falls, ME
Bowman Airport - Bowman, ND
Bowman Field - Louisville, KY
Bowstring - Deer River, MN
Boxborough Airport - Boxborough, MA
Boyceville Municipal - Boyceville, WI
Boylan State - Island Pond, VT
Boyne City Municipal - Boyne City, MI
Boyne Mtn - Boyne Falls, MI
Brackett Field - La Verne, CA
Bradenton Airport - Sarasota, FL
Bradford Airport - Bradford, PA
Bradford Co - Towanda, PA
Bradley International Airport - Hartford, CT
Bradley Sky Ranch - North Pole, AK
Bradshaw Army Air Field - Pohakuloa, HI
Brainard Airport - Hartford, CT
Branch Co Memorial - Coldwater, MI
Brand - Longmont, CO
Brandywine - West Chester, PA
Brandywine Hospital Heliport - Coatesville, PA
Branhams - Darlington, SC
Branson Airport - Hollister, MO
Brantley Co - Nahunta, GA
Brawley Municipal Airport - Brawley, CA
Braxton Co - Sutton, WV
Brazil Clay Co - Brazil, IN
Brazoria County Airport - Lake Jackson, TX
Breckinridge Co - Hardinsburg, KY
Bredlow Farm - England, AR
Bremerton National Airport - Bremerton, WA
Brenham Municipal - Brenham, TX
Brennand - Neenah, WI
Brenner - Falls City, NE
Bressler - Bird City, KS
Bresson - Compton, IL
Brevig Mission Airport - Teller Mission, AK
Brewer - Brewer, ME
Brewster Field - Holdrege, NE
Brewton Municipal - Brewton, AL
Bridgeport Municipal - Bridgeport, TX
Bridger Municipal - Bridger, MT
Bridgewater - Bridgewater, VA
Brigham City Airport - Brigham City, UT
Brighton - Brighton, MI
Britton Municipal Airport - Britton, SD
Broadus Airport - Broadus, MT
Brodhead - Brodhead, WI
Broken Bow - Broken Bow, OK
Broken Bow Municipal Airport - Broken Bow, NE
Brokenstraw - Pittsfield, PA
Broker Inn Airport - Boulder, CO
Brookbridge - Vaughn, GA
Brookeridge - Downers Grove, IL
Brookhaven Airport - Shirley, NY
